id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9773614,Apto Copacabana Vista Lateral mar,4782339,Sandro,,Copacabana,-22.96944,-43.18642,Entire home/apt,480,2,7,2021-11-15,0.11,2,302,3,
9774127,Barra com vista mar  janeiro 2020,1221463,Aparecida,,Barra da Tijuca,-23.00993,-43.43174,Entire home/apt,450,4,0,,,2,357,0,
9777330,Leia a descrição cobertura quadra praia Copacabana,49633396,Lúcia,,Copacabana,-22.96448,-43.17463,Entire home/apt,629,6,0,,,2,82,0,
9777398,Leia a descrição desse lindo apartamento,49633396,Lúcia,,Copacabana,-22.97075,-43.18522,Entire home/apt,200,6,1,2016-01-23,0.01,2,144,0,
9785198,Colonial House - in the heart of Santa Teresa!,50439111,Paloma,,Santa Teresa,-22.92165,-43.1866,Entire home/apt,563,5,151,2021-10-02,2.11,4,32,31,
9786246,Rio Antigo - colonial house in the heart of Santa!,50439111,Paloma,,Santa Teresa,-22.9216,-43.1865,Entire home/apt,417,5,157,2021-11-29,2.22,4,69,22,
9787220,Gávea com vista pro Cristo!,19227971,Mila,,Santa Teresa,-22.94754,-43.20775,Private room,730,2,0,,,2,358,0,
9792272,Suíte Luxo Baixo Gávea / Leblon,50467393,Roberto,,Gávea,-22.97659,-43.22537,Entire home/apt,400,2,8,2017-01-02,0.11,1,0,0,
9792522,Apto entre Copacabana e Ipanema,49952363,Emanoel,,Ipanema,-22.98453,-43.19406,Entire home/apt,360,3,2,2019-05-20,0.05,1,0,0,
9793472,❤️ Apto Copacabana 3 minutos da praia,27282645,Rose,,Copacabana,-22.96376,-43.17513,Entire home/apt,209,4,266,2021-12-19,3.62,1,38,38,
9795621,Quarto aconchegante c/banheiro exclusivo,18967737,Julio Cesar,,Jacarepaguá,-22.97099,-43.39519,Private room,267,1,114,2021-12-10,2.20,1,295,18,
9800412,EnSuite/StudioAC/Wifi/Kitchen/Metro Beach 1,24231115,Paloma,,Copacabana,-22.96776,-43.18227,Private room,284,5,21,2016-11-30,0.29,4,138,0,
9800968,En-suite/StudioAC/Wifi/Metro 2minCopacabana beach2,24231115,Paloma,,Copacabana,-22.96936,-43.18299,Private room,145,7,12,2021-12-02,0.17,4,0,3,
9803628,EXCELENTE SALETA/QUARTO POSTO 6,11726851,Alcineia,,Ipanema,-22.98496,-43.19581,Entire home/apt,200,5,1,2016-08-20,0.02,4,351,0,
9803823,apartamento aconchegante  bem localizado no leblon,50515139,Cristina,,Leblon,-22.97913,-43.22257,Entire home/apt,641,2,0,,,1,356,0,
9804429,Ipanema  GREAT LOCATION 207 Apto 704,14095160,Claudia,,Ipanema,-22.98295,-43.20428,Entire home/apt,886,7,1,2016-02-03,0.01,15,64,0,
9804617,Charming in  Copacabana / Ipanema,19170755,Alcione,,Copacabana,-22.98288,-43.19108,Private room,172,1,29,2021-12-15,0.41,1,342,2,
9806772,Ótimo Apartamento em Copacabana -,40691085,Rose,,Copacabana,-22.98298,-43.19421,Entire home/apt,1500,4,8,2020-03-01,0.11,1,350,0,
9814102,Great ap./ simple and charming,35437263,Rafael,,Catete,-22.92565,-43.17898,Entire home/apt,99,4,11,2020-02-26,0.15,1,175,0,
9818121,IPANEMA Barão Great View to Lagoon,14095160,Claudia,,Ipanema,-22.98174,-43.20802,Entire home/apt,1500,30,0,,,15,168,0,
